surface,status,access_condition,query_record,search_date,displayed_results,deduplicated_records,author_decisions_complete,notes
acm-digital-library,open,,paper/formal-literature-search-protocol-v0.7.0.md#frozen-query-families,,,,,
heinonline-or-hollis,open,,paper/formal-literature-search-protocol-v0.7.0.md#frozen-query-families,,,,,
ieee-xplore,open,,paper/formal-literature-search-protocol-v0.7.0.md#frozen-query-families,,,,,
philpapers,open,,paper/formal-literature-search-protocol-v0.7.0.md#frozen-query-families,,,,,
scopus-or-web-of-science,open,,paper/formal-literature-search-protocol-v0.7.0.md#frozen-query-families,,,,,
